Title,Property Type,Location,Bedrooms_Num,Bathrooms_Num,Size_SQM,Amenities,Surroundings,Price_Numeric,Price_Millions,Price_per_SQM,Amenity_Count,Month,Year,URL
5 Bed Townhouse with En Suite at Kitisuru,Townhouse,Kitisuru,5,5.0,300.0,"Aircon, Alarm, Backup Generator, En Suite, Fibre Internet, Service Charge Included, Walk In Closet, Balcony, BBQ, CCTV, Electric Fence, Borehole, Garden, Gym, Parking, Staff Quarters, Wheelchair Access, Gated Community, Kids Play Area","Bus Stop, Golf Course, Hospital, Scenic View, School, Shopping Centre",125000000.0,125.0,416666.6666666667,0,2,2026,https://www.buyrentkenya.com/listings/5-bedroom-townhouse-for-sale-kitisuru-3924973
5 Bed Townhouse with En Suite in Lavington,Townhouse,Lavington,5,5.0,400.0,"Aircon, Alarm, Backup Generator, En Suite, Fibre Internet, Service Charge Included, Walk In Closet, Balcony, BBQ, CCTV, Electric Fence, Borehole, Garden, Parking, Staff Quarters, Wheelchair Access, Gated Community, Kids Play Area","Bus Stop, Golf Course, Hospital, Scenic View, School, Shopping Centre",69000000.0,69.0,172500.0,0,2,2026,https://www.buyrentkenya.com/listings/5-bedroom-townhouse-for-sale-lavington-3924776
5 Bed Townhouse with En Suite in Lavington,Townhouse,Lavington,5,6.0,756.0,"Aircon, Alarm, Backup Generator, En Suite, Fibre Internet, Walk In Closet, Balcony, BBQ, CCTV, Electric Fence, Borehole, Garden, Parking, Staff Quarters, Wheelchair Access, Gated Community, Kids Play Area","Hospital, Golf Course, Bus Stop, Scenic View, School, Shopping Centre",110000000.0,110.0,145502.6455026455,0,2,2026,https://www.buyrentkenya.com/listings/5-bedroom-townhouse-for-sale-lavington-3924774
6 Bed Townhouse with En Suite in Lavington,Townhouse,Lavington,6,7.0,670.0,"Aircon, Alarm, Backup Generator, En Suite, Fibre Internet, Walk In Closet, Balcony, BBQ, CCTV, Electric Fence, Borehole, Garden, Parking, Staff Quarters, Wheelchair Access, Gated Community, Kids Play Area","Bus Stop, Golf Course, Hospital, Scenic View, School, Shopping Centre",195000000.0,195.0,291044.77611940296,0,2,2026,https://www.buyrentkenya.com/listings/6-bedroom-townhouse-for-sale-lavington-3924751
5 Bed Townhouse with En Suite in Kileleshwa,Townhouse,Kileleshwa,5,6.0,402.0,"Aircon, Alarm, Backup Generator, En Suite, Fibre Internet, Walk In Closet, Balcony, BBQ, CCTV, Electric Fence, Garden, Parking, Staff Quarters, Wheelchair Access, Gated Community, Kids Play Area","Bus Stop, Golf Course, Hospital, Scenic View, School, Shopping Centre",70000000.0,70.0,174129.35323383086,0,2,2026,https://www.buyrentkenya.com/listings/5-bedroom-townhouse-for-sale-kileleshwa-3924747
5 Bed Townhouse with En Suite in Lavington,Townhouse,Lavington,5,6.0,756.0,"Aircon, Alarm, Backup Generator, En Suite, Fibre Internet, Walk In Closet, Balcony, BBQ, CCTV, Electric Fence, Borehole, Garden, Parking, Staff Quarters, Wheelchair Access, Gated Community, Kids Play Area","Bus Stop, Golf Course, Hospital, Scenic View, School, Shopping Centre",97000000.0,97.0,128306.87830687831,0,2,2026,https://www.buyrentkenya.com/listings/5-bedroom-townhouse-for-sale-lavington-3924741
4 Bed Townhouse with En Suite in Loresho,Townhouse,Loresho,4,5.0,432.0,"Aircon, Alarm, Backup Generator, En Suite, Fibre Internet, Walk In Closet, Balcony, BBQ, CCTV, Electric Fence, Borehole, Garden, Parking, Gym, Swimming Pool, Staff Quarters, Wheelchair Access, Gated Community, Kids Play Area","Bus Stop, Golf Course, Hospital, Scenic View, School, Shopping Centre",105000000.0,105.0,243055.55555555556,0,2,2026,https://www.buyrentkenya.com/listings/4-bedroom-townhouse-for-sale-loresho-3924739
5 Bed Townhouse with En Suite in Lavington,Townhouse,Lavington,5,6.0,371.612,"Aircon, Alarm, Backup Generator, En Suite, Fibre Internet, Walk In Closet, Balcony, BBQ, CCTV, Electric Fence, Borehole, Garden, Parking, Staff Quarters, Wheelchair Access, Gated Community, Kids Play Area","Bus Stop, Golf Course, Hospital, Scenic View, School, Shopping Centre",85000000.0,85.0,228733.19483762633,0,2,2026,https://www.buyrentkenya.com/listings/5-bedroom-townhouse-for-sale-lavington-3924721
4 Bed Townhouse with En Suite at Kimalat -Enkasiti,Townhouse,Kitengela,4,4.0,208.0,"Alarm, Backup Generator, En Suite, Serviced, Balcony, CCTV, Electric Fence, Borehole, Garden, Gym, Parking, Staff Quarters, Swimming Pool, Wheelchair Access, Gated Community, Kids Play Area","Bus Stop, Hospital, School, Shopping Centre",16500000.0,16.5,79326.92307692308,0,1,2026,https://www.buyrentkenya.com/listings/4-bedroom-townhouse-for-sale-kitengela-3893488
3 Bed House with En Suite at Near Nairobi - Mombasa Expressway,House,Athi River,3,2.0,505.8575,"En Suite, Fibre Internet, Parking, Garden","Bus Stop, Shopping Centre, Hospital, School, Scenic View",10500000.0,10.5,20756.833693283188,0,5,2023,https://www.buyrentkenya.com/listings/3-bedroom-house-for-sale-athi-river-area-2-3598432
5 Bed Townhouse with En Suite in Lavington,Townhouse,Lavington,5,6.0,1011.715,"Aircon, Alarm, En Suite, Fibre Internet, Walk In Closet, Balcony, BBQ, CCTV, Electric Fence, Borehole, Garden, Parking, Staff Quarters, Wheelchair Access, Gated Community, Kids Play Area","Bus Stop, Golf Course, Hospital, Scenic View, School, Shopping Centre",120000000.0,120.0,118610.4782473325,0,2,2026,https://www.buyrentkenya.com/listings/5-bedroom-townhouse-for-sale-lavington-3924713
5 Bed Townhouse in Lower Kabete,Townhouse,Lower Kabete,5,5.0,432.0,,,110000000.0,110.0,254629.62962962964,0,1,2026,https://www.buyrentkenya.com/listings/5-bedroom-townhouse-for-sale-lower-kabete-3905485
6 Bed Villa with Staff Quarters at Runda,Villa,Runda,6,7.0,500.0,"Staff Quarters, Garden, Electric Fence",,158000000.0,158.0,316000.0,0,2,2026,https://www.buyrentkenya.com/listings/6-bedroom-villa-for-sale-runda-3924642
4 Bed Townhouse with En Suite in Runda,Townhouse,Runda,4,5.0,450.0,"Alarm, En Suite, Fibre Internet, Balcony, BBQ, CCTV, Electric Fence, Borehole, Garden, Gym, Parking, Staff Quarters, Swimming Pool, Gated Community, Kids Play Area","Bus Stop, Golf Course, Hospital, School, Shopping Centre",65000000.0,65.0,144444.44444444444,0,2,2026,https://www.buyrentkenya.com/listings/4-bedroom-townhouse-for-sale-runda-3924591
5 Bed Villa with En Suite in Loresho,Villa,Loresho,5,6.0,720.462765,"Aircon, Alarm, Backup Generator, En Suite, Fibre Internet, Walk In Closet, Balcony, Gym, Kids Play Area, Parking, BBQ, CCTV, Electric Fence, Borehole, Garden, Gated Community, Wheelchair Access, Swimming Pool, Staff Quarters","Bus Stop, Shopping Centre, Golf Course, Hospital, Scenic View, School",108400.0,0.1084,150.45885126346536,0,2,2026,https://www.buyrentkenya.com/listings/5-bedroom-villa-for-sale-loresho-3909243
6 Bed Villa with En Suite at Loiyangalani Road,Villa,Lavington,6,7.0,852.756637,"Aircon, Alarm, Backup Generator, En Suite, Fibre Internet, Walk In Closet, Balcony, BBQ, CCTV, Electric Fence, Borehole, Garden, Gated Community, Wheelchair Access, Swimming Pool, Staff Quarters, Parking, Gym, Kids Play Area","Bus Stop, Hospital, Scenic View, School, Shopping Centre",85000000.0,85.0,99676.73813601758,0,2,2026,https://www.buyrentkenya.com/listings/6-bedroom-villa-for-sale-lavington-3924537
5 Bed Villa with En Suite in Karen,Villa,Karen,5,5.0,650.0,"Alarm, Backup Generator, En Suite, Fibre Internet, Balcony, BBQ, Parking, Staff Quarters, Borehole, Garden, Swimming Pool","Bus Stop, Shopping Centre, Hospital, School",165000000.0,165.0,253846.15384615384,0,2,2026,https://www.buyrentkenya.com/listings/5-bedroom-villa-for-sale-karen-3924535
5 Bed House with En Suite in Karen,House,Karen,5,5.0,516.0,"Alarm, Backup Generator, En Suite, Fibre Internet, Balcony, BBQ, Parking, Staff Quarters, Borehole, Garden","Bus Stop, Shopping Centre, Hospital, School",160000000.0,160.0,310077.51937984495,0,2,2026,https://www.buyrentkenya.com/listings/5-bedroom-house-for-sale-karen-3924449
5 Bed Townhouse with En Suite in Lavington,Townhouse,Lavington,5,5.0,250.0,"Alarm, Backup Generator, En Suite, Fibre Internet, Balcony, BBQ, Parking, Staff Quarters, Borehole, Garden","Bus Stop, Shopping Centre, Hospital, School",65000000.0,65.0,260000.0,0,2,2026,https://www.buyrentkenya.com/listings/5-bedroom-townhouse-for-sale-lavington-3924476
4 Bed House with En Suite in Lavington,House,Lavington,4,3.0,280.0,"En Suite, Walk In Closet, Electric Fence, Garden, Parking, Gated Community","Bus Stop, Hospital, School, Shopping Centre",40000000.0,40.0,142857.14285714287,0,8,2019,https://www.buyrentkenya.com/listings/4-bedroom-house-for-sale-lavington-4-3411232
5 Bed House with En Suite in Runda,House,Runda,5,5.0,450.0,"Alarm, Backup Generator, En Suite, Fibre Internet, Balcony, BBQ, Parking, Staff Quarters, Borehole, Garden","Bus Stop, Shopping Centre, Hospital, School",120000000.0,120.0,266666.6666666667,0,2,2026,https://www.buyrentkenya.com/listings/5-bedroom-house-for-sale-runda-3924438
4 Bed House with En Suite at Fourways Junction Estate,House,Kiambu Road,4,4.0,205.0,"En Suite, Fibre Internet, Balcony, Wheelchair Access, Garden, Electric Fence, Borehole, Parking, Kids Play Area, Staff Quarters, Gated Community, Swimming Pool","Scenic View, Bus Stop, Golf Course, Hospital, School, Shopping Centre",22000000.0,22.0,107317.0731707317,0,7,2019,https://www.buyrentkenya.com/listings/4-bedroom-house-for-sale-kiambu-road-3406650
4 Bed House with En Suite at Portreitz,House,Mombasa CBD,4,3.0,1011.715,"En Suite, Serviced, Walk In Closet, Balcony, BBQ, Garden, Parking, Staff Quarters, Wheelchair Access","Scenic View, Sea View, School, Shopping Centre, Hospital, Bus Stop",28000000.0,28.0,27675.778257710917,0,1,2024,https://www.buyrentkenya.com/listings/4-bedroom-house-for-sale-mombasa-cbd-3666798
5 Bed House with En Suite in Syokimau,House,Syokimau,5,5.0,1011.715,"Alarm, Backup Generator, En Suite, Fibre Internet, Balcony, BBQ, Parking, Staff Quarters, Borehole, Garden","Bus Stop, Shopping Centre, Hospital, School",35000000.0,35.0,34594.72282213865,0,2,2026,https://www.buyrentkenya.com/listings/5-bedroom-house-for-sale-syokimau-3924372
5 Bed Villa with En Suite at Jacaranda,Villa,Lavington,5,6.0,700.0,"En Suite, Walk In Closet, Balcony, CCTV, BBQ, Electric Fence, Borehole, Garden, Gym, Parking, Staff Quarters, Wheelchair Access, Gated Community","Bus Stop, Golf Course, Hospital, School, Shopping Centre",160000000.0,160.0,228571.42857142858,0,2,2026,https://www.buyrentkenya.com/listings/5-bedroom-villa-for-sale-lavington-3914389
