Title,Property Type,Price,Location,Bedrooms,Bathrooms,Size,Amenities,Surroundings,Created At
3 Bed Townhouse with En Suite at Dagoretti Road,Townhouse,"KSh 22,500,000","Gikambura, Kikuyu",3 Bedrooms,3 Bathrooms,223 sqm,"Alarm, Backup Generator, En Suite, Fibre Internet, Walk In Closet, Balcony, BBQ, CCTV, Electric Fence, Borehole, Garden, Parking, Staff Quarters, Wheelchair Access, Gated Community, Kids Play Area","Bus Stop, Hospital, Scenic View, School, Shopping Centre",21 January 2026
4 Bed House in Kiambu Road,House,"KSh 78,000,000",Kiambu Road,4 Bedrooms,N/A,N/A,,,05 December 2025
6 Bed Townhouse with En Suite in Lavington,Townhouse,"KSh 160,000,000",Lavington,6 Bedrooms,7 Bathrooms,450 sqm,"Alarm, Backup Generator, En Suite, Fibre Internet, Walk In Closet, Gym, Kids Play Area, Parking, Balcony, BBQ, CCTV, Staff Quarters, Electric Fence, Borehole, Wheelchair Access, Gated Community, Garden","Bus Stop, Shopping Centre, Golf Course, Hospital, School, Scenic View",06 February 2026
4 Bed Townhouse with En Suite at Fana Road,Townhouse,"KSh 80,000,000",Karen,4 Bedrooms,5 Bathrooms,399 sqm,"Aircon, Alarm, Backup Generator, En Suite, Fibre Internet, Walk In Closet, Balcony, CCTV, Electric Fence, Borehole, Garden, Parking, Staff Quarters, Swimming Pool, Gated Community, Kids Play Area","Bus Stop, Hospital, Scenic View, School, Golf Course, Shopping Centre",18 February 2026
4 Bed House with En Suite in Kitengela,House,"KSh 27,000,000",Kitengela,4 Bedrooms,5 Bathrooms,N/A,"Aircon, Alarm, Backup Generator, Walk In Closet, En Suite, Fibre Internet, Balcony, BBQ, CCTV, Electric Fence, Borehole, Garden, Gated Community, Parking, Gym, Kids Play Area, Staff Quarters","Shopping Centre, Bus Stop, Scenic View, School, Hospital",18 February 2026
4 Bed House with En Suite in Kitengela,House,"KSh 27,000,000",Kitengela,4 Bedrooms,5 Bathrooms,N/A,"Aircon, Alarm, Backup Generator, Walk In Closet, En Suite, Fibre Internet, Service Charge Included, Balcony, CCTV, BBQ, Electric Fence, Borehole, Gated Community, Garden, Parking, Staff Quarters, Gym, Kids Play Area","Bus Stop, Shopping Centre, Hospital, Scenic View, School",18 February 2026
5 Bed Villa with En Suite at Chalbi Drive,Villa,"KSh 100,000,000",Lavington,5 Bedrooms,6 Bathrooms,3150 sqm,"Alarm, Backup Generator, Fibre Internet, En Suite, Walk In Closet, Staff Quarters, Electric Fence, Swimming Pool, Borehole, Garden, Gated Community, CCTV, Parking, BBQ, Balcony, Gym, Kids Play Area","Bus Stop, Shopping Centre, Hospital, Scenic View, School",18 February 2026
4 Bed House with En Suite at Rosslyn,House,"KSh 85,000,000","Rosslyn, Westlands",4 Bedrooms,4 Bathrooms,N/A,"Aircon, Alarm, Backup Generator, En Suite, Fibre Internet, Service Charge Included, Walk In Closet, Balcony, BBQ, CCTV, Electric Fence, Borehole, Garden, Parking, Staff Quarters, Wheelchair Access, Gated Community, Kids Play Area","Bus Stop, Golf Course, Hospital, Scenic View, School, Shopping Centre",18 February 2026
5 Bed Villa with En Suite in Lavington,Villa,"KSh 55,000,000",Lavington,5 Bedrooms,5 Bathrooms,395 sqm,"En Suite, Fibre Internet, Walk In Closet, Balcony, CCTV, Electric Fence, Borehole, Garden, Parking, Staff Quarters, Wheelchair Access, Gated Community, Kids Play Area","Bus Stop, Golf Course, Hospital, Scenic View, School, Shopping Centre",18 February 2026
6 Bed Townhouse with En Suite in Lower Kabete,Townhouse,"KSh 255,000,000","Lower Kabete, Westlands",6 Bedrooms,6 Bathrooms,N/A,"Alarm, Backup Generator, En Suite, Fibre Internet, Balcony, BBQ, Parking, Staff Quarters, Borehole, Garden","Bus Stop, Shopping Centre, Hospital, School",18 February 2026
4 Bed House in Kitisuru,House,Price not communicated,"Kitisuru, Westlands",4 Bedrooms,N/A,0.8 acre,,,18 February 2026
5 Bed House with En Suite in Karen,House,"KSh 102,000,000",Karen,5 Bedrooms,5 Bathrooms,450 sqm,"Alarm, Backup Generator, En Suite, Fibre Internet, Balcony, BBQ, Parking, Staff Quarters, Borehole, Garden","Bus Stop, Shopping Centre, Hospital, School",18 February 2026
4 Bed Townhouse with En Suite in Karen,Townhouse,"KSh 80,000,000",Karen,4 Bedrooms,5 Bathrooms,399 sqm,"Aircon, Alarm, Backup Generator, En Suite, Fibre Internet, Balcony, Parking, Kids Play Area, CCTV, Staff Quarters, Electric Fence, Wheelchair Access, Garden, Gated Community","Bus Stop, Shopping Centre, Golf Course, Hospital, Scenic View, School",16 February 2026
4 Bed Townhouse with En Suite at Chalbi Rd,Townhouse,"KSh 70,000,000",Lavington,4 Bedrooms,5 Bathrooms,N/A,"Backup Generator, Walk In Closet, Service Charge Included, Fibre Internet, En Suite, Staff Quarters, CCTV, Electric Fence, Borehole, Gated Community, Garden, Balcony, Parking, Kids Play Area","Bus Stop, Shopping Centre, Hospital, School, Scenic View",18 February 2026
5 Bed House with En Suite in Lower Kabete,House,"KSh 135,000,000","Lower Kabete, Westlands",5 Bedrooms,5 Bathrooms,N/A,"Alarm, Backup Generator, En Suite, Fibre Internet, Balcony, BBQ, Parking, Staff Quarters, Borehole, Garden","Bus Stop, Shopping Centre, Hospital, School",18 February 2026
5 Bed Townhouse with En Suite in Lavington,Townhouse,"KSh 75,000,000",Lavington,5 Bedrooms,6 Bathrooms,N/A,"Aircon, Alarm, Walk In Closet, Backup Generator, En Suite, Fibre Internet, Service Charge Included, Balcony, BBQ, Gym, Kids Play Area, Parking, CCTV, Electric Fence, Wheelchair Access, Borehole, Garden, Gated Community","Bus Stop, Shopping Centre, Hospital, Scenic View, School",18 February 2026
5 Bed Townhouse with En Suite in Lavington,Townhouse,"KSh 81,000,000",Lavington,5 Bedrooms,6 Bathrooms,N/A,"Aircon, Alarm, Service Charge Included, Backup Generator, Walk In Closet, En Suite, Fibre Internet, Balcony, BBQ, Gym, Parking, CCTV, Electric Fence, Borehole, Gated Community, Garden, Wheelchair Access, Kids Play Area","Bus Stop, Shopping Centre, Scenic View, School, Hospital",18 February 2026
6 Bed Townhouse with En Suite in Lavington,Townhouse,"KSh 85,000,000",Lavington,6 Bedrooms,7 Bathrooms,N/A,"Aircon, Alarm, Service Charge Included, Walk In Closet, Backup Generator, En Suite, Fibre Internet, Balcony, BBQ, Parking, Kids Play Area, Gym, Electric Fence, CCTV, Swimming Pool, Wheelchair Access, Borehole, Garden, Gated Community","Bus Stop, Shopping Centre, Hospital, School, Scenic View",18 February 2026
4 Bed House with En Suite in Karen,House,"KSh 130,000,000",Karen,4 Bedrooms,4 Bathrooms,492 sqm,"Alarm, Backup Generator, En Suite, Fibre Internet, Balcony, BBQ, Parking, Staff Quarters, Borehole, Garden","Bus Stop, Shopping Centre, Hospital, School",18 February 2026
4 Bed House with En Suite in Spring Valley,House,"KSh 50,000,000","Spring Valley, Westlands",4 Bedrooms,4 Bathrooms,N/A,"Alarm, Backup Generator, En Suite, Fibre Internet, Balcony, BBQ, Parking, Staff Quarters, Swimming Pool, Borehole, Garden","Bus Stop, Shopping Centre, Hospital, School",18 February 2026
7 Bed House with En Suite in Karen,House,"KSh 165,000,000",Karen,7 Bedrooms,7 Bathrooms,516 sqm,"Aircon, Alarm, Walk In Closet, Backup Generator, En Suite, Fibre Internet, Balcony, BBQ, CCTV, Electric Fence, Borehole, Garden, Wheelchair Access, Gated Community, Staff Quarters, Parking, Gym, Kids Play Area","Bus Stop, Hospital, Scenic View, School, Shopping Centre",18 February 2026
5 Bed Townhouse with En Suite at Kitisuru,Townhouse,"KSh 125,000,000","Kitisuru, Westlands",5 Bedrooms,5 Bathrooms,300 sqm,"Aircon, Alarm, Backup Generator, En Suite, Fibre Internet, Service Charge Included, Walk In Closet, Balcony, BBQ, CCTV, Electric Fence, Borehole, Garden, Gym, Parking, Staff Quarters, Wheelchair Access, Gated Community, Kids Play Area","Bus Stop, Golf Course, Hospital, Scenic View, School, Shopping Centre",18 February 2026
3 Bed Townhouse with En Suite in Lower Kabete,Townhouse,"KSh 85,000,000","Lower Kabete, Westlands",3 Bedrooms,3 Bathrooms,N/A,"Alarm, Backup Generator, En Suite, Fibre Internet, Balcony, BBQ, Parking, Staff Quarters, Swimming Pool, Borehole, Garden","Bus Stop, Shopping Centre, Hospital, School",18 February 2026
5 Bed Townhouse with En Suite in Lavington,Townhouse,"KSh 73,000,000",Lavington,5 Bedrooms,5 Bathrooms,N/A,"Alarm, Backup Generator, En Suite, Fibre Internet, Balcony, BBQ, Parking, Staff Quarters, Borehole, Garden","Bus Stop, Shopping Centre, Hospital, School",17 February 2026
5 Bed House with En Suite in Westlands Area,House,"KSh 98,000,000","Westlands Area, Westlands",5 Bedrooms,5 Bathrooms,N/A,"Alarm, Backup Generator, En Suite, Fibre Internet, Balcony, Parking, BBQ, Staff Quarters, Borehole, Garden","Bus Stop, Shopping Centre, Hospital, School",17 February 2026
4 Bed House with En Suite in Runda,House,"KSh 155,040,000","Runda, Westlands",4 Bedrooms,5 Bathrooms,0.5 acre,"Alarm, Backup Generator, En Suite, Walk In Closet, Fibre Internet, Balcony, BBQ, Parking, Staff Quarters, CCTV, Electric Fence, Borehole, Garden, Gated Community","Bus Stop, Shopping Centre, Hospital, Scenic View, School, Golf Course",21 October 2025
4 Bed House with En Suite in Westlands Area,House,"KSh 105,000,000","Westlands Area, Westlands",4 Bedrooms,4 Bathrooms,1/4 acre,"Backup Generator, En Suite, Fibre Internet, Walk In Closet, Staff Quarters, Swimming Pool, Borehole, Garden, Gated Community, Kids Play Area, Gym, Balcony","Shopping Centre, Bus Stop, Hospital, School",11 January 2026
4 Bed Villa with En Suite at Muhuri Road Off Waiyaki Way,Villa,"KSh 25,000,000","Westlands Area, Westlands",4 Bedrooms,5 Bathrooms,360 sqm,"En Suite, Fibre Internet, Walk In Closet, Balcony, BBQ, CCTV, Electric Fence, Borehole, Garden, Parking, Staff Quarters, Gym, Swimming Pool, Wheelchair Access, Gated Community, Kids Play Area","Bus Stop, Golf Course, Hospital, Scenic View, School, Shopping Centre",11 February 2026
5 Bed Townhouse with En Suite in Lavington,Townhouse,"KSh 69,000,000",Lavington,5 Bedrooms,5 Bathrooms,350–400 sqm,"Aircon, Alarm, Backup Generator, En Suite, Fibre Internet, Service Charge Included, Walk In Closet, Balcony, BBQ, CCTV, Electric Fence, Borehole, Garden, Parking, Staff Quarters, Wheelchair Access, Gated Community, Kids Play Area","Bus Stop, Golf Course, Hospital, Scenic View, School, Shopping Centre",18 February 2026
5 Bed Townhouse with En Suite in Lavington,Townhouse,"KSh 110,000,000",Lavington,5 Bedrooms,6 Bathrooms,756 sqm,"Aircon, Alarm, Backup Generator, En Suite, Fibre Internet, Walk In Closet, Balcony, BBQ, CCTV, Electric Fence, Borehole, Garden, Parking, Staff Quarters, Wheelchair Access, Gated Community, Kids Play Area","Hospital, Golf Course, Bus Stop, Scenic View, School, Shopping Centre",18 February 2026
5 Bed Townhouse with En Suite in Lavington,Townhouse,"KSh 70,000,000",Lavington,5 Bedrooms,6 Bathrooms,1 acre,"Aircon, Alarm, Backup Generator, En Suite, Fibre Internet, Walk In Closet, Balcony, BBQ, CCTV, Electric Fence, Parking, Staff Quarters, Wheelchair Access, Gated Community, Kids Play Area","Bus Stop, Golf Course, Hospital, Scenic View, School, Shopping Centre",18 February 2026
4 Bed House with Swimming Pool in Garden Estate,House,"KSh 90,000,000","Garden Estate, Roysambu",4 Bedrooms,5 Bathrooms,N/A,"Swimming Pool, Gated Community, Garden",,17 February 2026
6 Bed Townhouse with En Suite in Lavington,Townhouse,"KSh 195,000,000",Lavington,6 Bedrooms,7 Bathrooms,670 sqm,"Aircon, Alarm, Backup Generator, En Suite, Fibre Internet, Walk In Closet, Balcony, BBQ, CCTV, Electric Fence, Borehole, Garden, Parking, Staff Quarters, Wheelchair Access, Gated Community, Kids Play Area","Bus Stop, Golf Course, Hospital, Scenic View, School, Shopping Centre",17 February 2026
4 Bed Townhouse with Garden in Kiambu Road,Townhouse,"KSh 34,000,000",Kiambu Road,4 Bedrooms,4 Bathrooms,N/A,"Gated Community, Garden",,17 February 2026
5 Bed Townhouse with En Suite in Kileleshwa,Townhouse,"KSh 70,000,000",Kileleshwa,5 Bedrooms,6 Bathrooms,402 sqm,"Aircon, Alarm, Backup Generator, En Suite, Fibre Internet, Walk In Closet, Balcony, BBQ, CCTV, Electric Fence, Garden, Parking, Staff Quarters, Wheelchair Access, Gated Community, Kids Play Area","Bus Stop, Golf Course, Hospital, Scenic View, School, Shopping Centre",17 February 2026
5 Bed Townhouse with En Suite in Lavington,Townhouse,"KSh 60,000,000",Lavington,5 Bedrooms,5 Bathrooms,N/A,"Aircon, Alarm, En Suite, Fibre Internet, Service Charge Included, Walk In Closet, Balcony, BBQ, CCTV, Electric Fence, Parking, Staff Quarters, Wheelchair Access, Gated Community, Kids Play Area","Bus Stop, Golf Course, Hospital, Scenic View, School, Shopping Centre",17 February 2026
5 Bed Townhouse with En Suite in Lavington,Townhouse,"KSh 75,000,000",Lavington,5 Bedrooms,6 Bathrooms,N/A,"Aircon, Alarm, Service Charge Included, Backup Generator, Walk In Closet, En Suite, Fibre Internet, Balcony, BBQ, Parking, Kids Play Area, Gym, CCTV, Electric Fence, Borehole, Gated Community, Garden, Wheelchair Access","Bus Stop, Shopping Centre, Hospital, Scenic View, School",17 February 2026
5 Bed Townhouse with En Suite in Lavington,Townhouse,"KSh 81,000,000",Lavington,5 Bedrooms,6 Bathrooms,N/A,"Aircon, Service Charge Included, Alarm, Backup Generator, Walk In Closet, Fibre Internet, En Suite, Balcony, BBQ, Gym, Kids Play Area, Parking, CCTV, Electric Fence, Borehole, Wheelchair Access, Gated Community, Garden","Bus Stop, Shopping Centre, Hospital, Scenic View, School",17 February 2026
5 Bed Townhouse with En Suite in Lavington,Townhouse,"KSh 97,000,000",Lavington,5 Bedrooms,6 Bathrooms,756 sqm,"Aircon, Alarm, Backup Generator, En Suite, Fibre Internet, Walk In Closet, Balcony, BBQ, CCTV, Electric Fence, Borehole, Garden, Parking, Staff Quarters, Wheelchair Access, Gated Community, Kids Play Area","Bus Stop, Golf Course, Hospital, Scenic View, School, Shopping Centre",17 February 2026
4 Bed Townhouse with En Suite in Loresho,Townhouse,"KSh 105,000,000","Loresho, Westlands",4 Bedrooms,5 Bathrooms,432 sqm,"Aircon, Alarm, Backup Generator, En Suite, Fibre Internet, Walk In Closet, Balcony, BBQ, CCTV, Electric Fence, Borehole, Garden, Parking, Gym, Swimming Pool, Staff Quarters, Wheelchair Access, Gated Community, Kids Play Area","Bus Stop, Golf Course, Hospital, Scenic View, School, Shopping Centre",17 February 2026
4 Bed House with En Suite in Nyari,House,"KSh 120,000,000","Nyari, Westlands",4 Bedrooms,3 Bathrooms,N/A,"Walk In Closet, Alarm, En Suite, Fibre Internet, Parking, Balcony, Staff Quarters, Electric Fence, Wheelchair Access, Garden, Gated Community",,17 February 2026
4 Bed Townhouse with En Suite in Lavington,Townhouse,"KSh 83,000,000",Lavington,4 Bedrooms,4 Bathrooms,N/A,"Aircon, Alarm, Backup Generator, En Suite, Fibre Internet, Walk In Closet, Balcony, BBQ, CCTV, Electric Fence, Borehole, Parking, Staff Quarters, Wheelchair Access, Gated Community, Kids Play Area","Bus Stop, Golf Course, Hospital, Scenic View, School, Shopping Centre",17 February 2026
5 Bed House with En Suite in Runda,House,"KSh 259,000,000","Runda, Westlands",5 Bedrooms,6 Bathrooms,0.5 acre,"Aircon, Alarm, Backup Generator, En Suite, Fibre Internet, Walk In Closet, Balcony, BBQ, CCTV, Electric Fence, Garden, Parking, Staff Quarters, Wheelchair Access, Kids Play Area","Bus Stop, Golf Course, Hospital, Scenic View, School, Shopping Centre",17 February 2026
5 Bed Townhouse with En Suite in Lavington,Townhouse,"KSh 85,000,000",Lavington,5 Bedrooms,6 Bathrooms,4000 sq ft,"Aircon, Alarm, Backup Generator, En Suite, Fibre Internet, Walk In Closet, Balcony, BBQ, CCTV, Electric Fence, Borehole, Garden, Parking, Staff Quarters, Wheelchair Access, Gated Community, Kids Play Area","Bus Stop, Golf Course, Hospital, Scenic View, School, Shopping Centre",17 February 2026
4 Bed House with Staff Quarters in Nyari,House,"KSh 120,000,000","Nyari, Westlands",4 Bedrooms,4 Bathrooms,N/A,"Alarm, Fibre Internet, Service Charge Included, Walk In Closet, Balcony, Electric Fence, Garden, Parking, Staff Quarters, Gated Community, Kids Play Area",Shopping Centre,17 February 2026
5 Bed Townhouse with En Suite in Lavington,Townhouse,"KSh 75,000,000",Lavington,5 Bedrooms,5 Bathrooms,N/A,"Aircon, Alarm, Backup Generator, En Suite, Fibre Internet, Walk In Closet, Balcony, BBQ, CCTV, Electric Fence, Garden, Parking, Staff Quarters, Wheelchair Access, Gated Community, Kids Play Area","Bus Stop, Golf Course, School, Scenic View, Hospital, Shopping Centre",17 February 2026
5 Bed Townhouse with En Suite in Lavington,Townhouse,"KSh 120,000,000",Lavington,5 Bedrooms,6 Bathrooms,1/4 acre,"Aircon, Alarm, En Suite, Fibre Internet, Walk In Closet, Balcony, BBQ, CCTV, Electric Fence, Borehole, Garden, Parking, Staff Quarters, Wheelchair Access, Gated Community, Kids Play Area","Bus Stop, Golf Course, Hospital, Scenic View, School, Shopping Centre",17 February 2026
5 Bed Townhouse with En Suite in Kileleshwa,Townhouse,"KSh 70,000,000",Kileleshwa,5 Bedrooms,6 Bathrooms,402 sqm,"Aircon, Alarm, Backup Generator, En Suite, Fibre Internet, Walk In Closet, Balcony, BBQ, CCTV, Electric Fence, Borehole, Parking, Staff Quarters, Wheelchair Access, Gated Community, Kids Play Area","Bus Stop, Golf Course, Hospital, Scenic View, School, Shopping Centre",17 February 2026
5 Bed Townhouse with En Suite in Lavington,Townhouse,"KSh 75,000,000",Lavington,5 Bedrooms,5 Bathrooms,N/A,"Aircon, Alarm, En Suite, Fibre Internet, Walk In Closet, Balcony, BBQ, CCTV, Electric Fence, Borehole, Garden, Parking, Staff Quarters, Wheelchair Access, Gated Community, Kids Play Area","Bus Stop, Golf Course, Hospital, Scenic View, School, Shopping Centre",17 February 2026
5 Bed Townhouse in Lower Kabete,Townhouse,"KSh 110,000,000","Lower Kabete, Westlands",5 Bedrooms,5 Bathrooms,432 sqm,,,27 January 2026
4 Bed Townhouse with En Suite in Ruiru,Townhouse,"KSh 14,500,000",Ruiru,4 Bedrooms,N/A,N/A,"En Suite, Fibre Internet, Parking, Electric Fence, Staff Quarters, Garden, Gated Community, Kids Play Area","Bus Stop, Shopping Centre, Hospital, School",19 December 2025
4 Bed Townhouse with En Suite at Kimalat -Enkasiti,Townhouse,"KSh 16,500,000",Kitengela,4 Bedrooms,4 Bathrooms,208 sqm,"Alarm, Backup Generator, En Suite, Serviced, Balcony, CCTV, Electric Fence, Borehole, Garden, Gym, Parking, Staff Quarters, Swimming Pool, Wheelchair Access, Gated Community, Kids Play Area","Bus Stop, Hospital, School, Shopping Centre",14 January 2026
3 Bed House with En Suite at Near Nairobi - Mombasa Expressway,House,"KSh 10,500,000",Athi River,3 Bedrooms,2 Bathrooms,1/8 acre,"En Suite, Fibre Internet, Parking, Garden","Bus Stop, Shopping Centre, Hospital, School, Scenic View",09 May 2023
6 Bed Villa with Staff Quarters at Runda,Villa,"KSh 158,000,000","Runda, Westlands",6 Bedrooms,7 Bathrooms,500 sqm,"Staff Quarters, Garden, Electric Fence",,17 February 2026
5 Bed House with En Suite in Rosslyn,House,"KSh 140,000,000","Rosslyn, Westlands",5 Bedrooms,5 Bathrooms,N/A,"Alarm, Backup Generator, En Suite, Fibre Internet, Balcony, BBQ, Parking, Staff Quarters, Borehole, Garden","Bus Stop, Shopping Centre, Hospital, School",17 February 2026
4 Bed Townhouse with En Suite in Runda,Townhouse,"KSh 65,000,000","Runda, Westlands",4 Bedrooms,5 Bathrooms,450 sqm,"Alarm, En Suite, Fibre Internet, Balcony, BBQ, CCTV, Electric Fence, Borehole, Garden, Gym, Parking, Staff Quarters, Swimming Pool, Gated Community, Kids Play Area","Bus Stop, Golf Course, Hospital, School, Shopping Centre",17 February 2026
5 Bed Villa with En Suite in Loresho,Villa,"KSh 108,400","Loresho, Westlands",5 Bedrooms,6 Bathrooms,7755 sq ft,"Aircon, Alarm, Backup Generator, En Suite, Fibre Internet, Walk In Closet, Balcony, Gym, Kids Play Area, Parking, BBQ, CCTV, Electric Fence, Borehole, Garden, Gated Community, Wheelchair Access, Swimming Pool, Staff Quarters","Bus Stop, Shopping Centre, Golf Course, Hospital, Scenic View, School",02 February 2026
6 Bed Villa with En Suite at Loiyangalani Road,Villa,"KSh 85,000,000",Lavington,6 Bedrooms,7 Bathrooms,9179 sq ft,"Aircon, Alarm, Backup Generator, En Suite, Fibre Internet, Walk In Closet, Balcony, BBQ, CCTV, Electric Fence, Borehole, Garden, Gated Community, Wheelchair Access, Swimming Pool, Staff Quarters, Parking, Gym, Kids Play Area","Bus Stop, Hospital, Scenic View, School, Shopping Centre",17 February 2026
5 Bed Villa with En Suite in Karen,Villa,"KSh 165,000,000",Karen,5 Bedrooms,5 Bathrooms,650 sqm,"Alarm, Backup Generator, En Suite, Fibre Internet, Balcony, BBQ, Parking, Staff Quarters, Borehole, Garden, Swimming Pool","Bus Stop, Shopping Centre, Hospital, School",17 February 2026
5 Bed Townhouse with En Suite in Lavington,Townhouse,"KSh 78,000,000",Lavington,5 Bedrooms,5 Bathrooms,N/A,"Alarm, Backup Generator, En Suite, Fibre Internet, Balcony, BBQ, Parking, Staff Quarters, Garden, Borehole","Bus Stop, Shopping Centre, Hospital, School",17 February 2026
5 Bed Townhouse with En Suite in Lavington,Townhouse,"KSh 75,000,000",Lavington,5 Bedrooms,5 Bathrooms,N/A,"Alarm, Backup Generator, En Suite, Fibre Internet, Balcony, BBQ, Parking, Staff Quarters, Borehole, Garden","Bus Stop, Shopping Centre, Hospital, School",17 February 2026
4 Bed House with En Suite in Ngong,House,"KSh 13,000,000",Ngong,4 Bedrooms,5 Bathrooms,5058 sqm,"En Suite, Fibre Internet, Parking, Wheelchair Access, Staff Quarters, Electric Fence, Borehole, Gated Community","Bus Stop, Hospital, School, Shopping Centre",17 February 2026
5 Bed Townhouse with En Suite in Lavington,Townhouse,"KSh 98,000,000",Lavington,5 Bedrooms,5 Bathrooms,N/A,"Backup Generator, Alarm, En Suite, Fibre Internet, Balcony, BBQ, Parking, Staff Quarters, Borehole, Garden","Bus Stop, Shopping Centre, Hospital, School",17 February 2026
5 Bed House with En Suite in Karen,House,"KSh 160,000,000",Karen,5 Bedrooms,5 Bathrooms,516 sqm,"Alarm, Backup Generator, En Suite, Fibre Internet, Balcony, BBQ, Parking, Staff Quarters, Borehole, Garden","Bus Stop, Shopping Centre, Hospital, School",17 February 2026
5 Bed Townhouse with En Suite in Lavington,Townhouse,"KSh 65,000,000",Lavington,5 Bedrooms,5 Bathrooms,250 sqm,"Alarm, Backup Generator, En Suite, Fibre Internet, Balcony, BBQ, Parking, Staff Quarters, Borehole, Garden","Bus Stop, Shopping Centre, Hospital, School",17 February 2026
4 Bed House with En Suite in Lavington,House,"KSh 40,000,000",Lavington,4 Bedrooms,3 Bathrooms,280 sqm,"En Suite, Walk In Closet, Electric Fence, Garden, Parking, Gated Community","Bus Stop, Hospital, School, Shopping Centre",28 August 2019
5 Bed House with En Suite in Runda,House,"KSh 120,000,000","Runda, Westlands",5 Bedrooms,5 Bathrooms,450 sqm,"Alarm, Backup Generator, En Suite, Fibre Internet, Balcony, BBQ, Parking, Staff Quarters, Borehole, Garden","Bus Stop, Shopping Centre, Hospital, School",17 February 2026
4 Bed House with En Suite at Fourways Junction Estate,House,"KSh 22,000,000",Kiambu Road,4 Bedrooms,4 Bathrooms,205 sqm,"En Suite, Fibre Internet, Balcony, Wheelchair Access, Garden, Electric Fence, Borehole, Parking, Kids Play Area, Staff Quarters, Gated Community, Swimming Pool","Scenic View, Bus Stop, Golf Course, Hospital, School, Shopping Centre",12 July 2019
3 Bed Townhouse with En Suite at Grevillea Grove,Townhouse,"KSh 48,000,000","Brookside, Westlands",3 Bedrooms,3 Bathrooms,5.44 acre,"Aircon, Alarm, Backup Generator, En Suite, Fibre Internet, Walk In Closet, Balcony, BBQ, CCTV, Electric Fence, Borehole, Gated Community, Garden, Wheelchair Access, Swimming Pool, Staff Quarters, Parking, Gym, Kids Play Area","Bus Stop, Hospital, Scenic View, School, Shopping Centre",17 February 2026
4 Bed Townhouse with En Suite in Syokimau,Townhouse,"KSh 18,000,000",Syokimau,4 Bedrooms,4 Bathrooms,N/A,"Backup Generator, En Suite, Fibre Internet, Alarm, Balcony, BBQ, Parking, Staff Quarters, Borehole, Garden","Bus Stop, Shopping Centre, Hospital, School",17 February 2026
3 Bed House with En Suite in Syokimau,House,"KSh 8,000,000",Syokimau,3 Bedrooms,3 Bathrooms,N/A,"Alarm, Backup Generator, En Suite, Fibre Internet, Balcony, BBQ, Parking, Staff Quarters, Borehole, Garden","Bus Stop, Shopping Centre, Hospital, School",17 February 2026
4 Bed House with En Suite in Syokimau,House,"KSh 16,000,000",Syokimau,4 Bedrooms,4 Bathrooms,N/A,"Alarm, Backup Generator, En Suite, Fibre Internet, Balcony, BBQ, Parking, Staff Quarters, Borehole, Garden","Bus Stop, Shopping Centre, Hospital, School",17 February 2026
3 Bed House with En Suite in Syokimau,House,"KSh 11,000,000",Syokimau,3 Bedrooms,3 Bathrooms,N/A,"Alarm, Backup Generator, En Suite, Fibre Internet, Balcony, BBQ, Parking, Staff Quarters, Borehole, Garden","Bus Stop, Shopping Centre, Hospital, School",17 February 2026
5 Bed House with En Suite in Syokimau,House,"KSh 35,000,000",Syokimau,5 Bedrooms,5 Bathrooms,1/4 acre,"Alarm, Backup Generator, En Suite, Fibre Internet, Balcony, BBQ, Parking, Staff Quarters, Borehole, Garden","Bus Stop, Shopping Centre, Hospital, School",17 February 2026
5 Bed Villa with En Suite at Jacaranda,Villa,"KSh 160,000,000",Lavington,5 Bedrooms,6 Bathrooms,700 sqm,"En Suite, Walk In Closet, Balcony, CCTV, BBQ, Electric Fence, Borehole, Garden, Gym, Parking, Staff Quarters, Wheelchair Access, Gated Community","Bus Stop, Golf Course, Hospital, School, Shopping Centre",06 February 2026
5 Bed House with En Suite at Runda,House,"KSh 235,000,000","Runda, Westlands",5 Bedrooms,6 Bathrooms,0.5 acre,"En Suite, Fibre Internet, Walk In Closet, Balcony, Electric Fence, Garden, Staff Quarters, Parking, Kids Play Area","Bus Stop, Golf Course, Hospital, Scenic View, School, Shopping Centre",28 October 2025
5 Bed House with En Suite at Off Runda Grove,House,"KSh 259,000,000","Runda, Westlands",5 Bedrooms,5 Bathrooms,0.5 acre,"En Suite, Electric Fence, Garden, Parking, Balcony, Staff Quarters",,31 October 2025
4 Bed House with En Suite at Portreitz,House,"KSh 28,000,000","Mombasa CBD, Mombasa Island",4 Bedrooms,3 Bathrooms,1/4 acre,"En Suite, Serviced, Walk In Closet, Balcony, BBQ, Garden, Parking, Staff Quarters, Wheelchair Access","Scenic View, Sea View, School, Shopping Centre, Hospital, Bus Stop",03 January 2024
5 Bed Villa with En Suite at Jacaranda,Villa,"KSh 160,000,000",Lavington,5 Bedrooms,6 Bathrooms,700 sqm,"En Suite, Walk In Closet, Balcony, CCTV, BBQ, Electric Fence, Borehole, Garden, Gym, Parking, Staff Quarters, Wheelchair Access, Gated Community","Bus Stop, Golf Course, Hospital, School, Shopping Centre",06 February 2026
5 Bed Villa at Kikuyu-Kamangu Road,Villa,"KSh 45,000,000",Kamangu,5 Bedrooms,6 Bathrooms,1/8 acre,,,10 February 2026
