Title,Property Type,Price,Location,Bedrooms,Bathrooms,Size,Amenities,Surroundings,Created At
4 Bed Villa with En Suite at Peponi Road Spring Valley,Villa,"KSh 85,000,000","Spring Valley, Westlands",4 Bedrooms,4 Bathrooms,8500 sq ft,"Aircon, Alarm, Backup Generator, En Suite, Fibre Internet, Walk In Closet, Service Charge Included, Serviced, Balcony, BBQ, CCTV, Electric Fence, Borehole, Garden, Gated Community, Wheelchair Access, Staff Quarters, Parking, Kids Play Area","Bus Stop, Hospital, Scenic View, School, Shopping Centre",30 January 2026
6 Bed Villa with En Suite at Loiyangalani Road Lavington Nairobi,Villa,"KSh 85,000,000",Lavington,6 Bedrooms,7 Bathrooms,9179 sq ft,"Aircon, Alarm, Backup Generator, En Suite, Fibre Internet, Walk In Closet, Balcony, CCTV, BBQ, Electric Fence, Borehole, Garden, Gated Community, Wheelchair Access, Swimming Pool, Staff Quarters, Parking, Gym, Kids Play Area","Bus Stop, Hospital, Scenic View, School, Shopping Centre",30 January 2026
4 Bed House with En Suite in Kiambu Road,House,"KSh 60,000,000",Kiambu Road,4 Bedrooms,4 Bathrooms,365 sqm,"Walk In Closet, En Suite, Fibre Internet, Aircon, Backup Generator, Balcony, Gym, Kids Play Area, Parking, BBQ, CCTV, Staff Quarters, Swimming Pool, Electric Fence, Borehole, Wheelchair Access, Gated Community, Garden","Shopping Centre, Bus Stop, Hospital, School",30 January 2026
7 Bed Villa with En Suite in Runda,Villa,"KSh 115,000,000","Runda, Westlands",7 Bedrooms,7 Bathrooms,0.6 acre,"En Suite, Garden, Parking, Balcony","Bus Stop, Hospital, School",30 January 2026
5 Bed Villa with Staff Quarters in Tigoni,Villa,"KSh 283,000,000","Tigoni, Limuru",5 Bedrooms,5 Bathrooms,6.39 acre,"Balcony, Borehole, Garden, Staff Quarters, Parking","Scenic View, Hospital, Shopping Centre",28 January 2026
4 Bed House with En Suite at Lavington,House,"KSh 60,000,000",Lavington,4 Bedrooms,4 Bathrooms,378 sqm,"Backup Generator, En Suite, Walk In Closet, CCTV, Electric Fence, Borehole, Garden, Gated Community, Kids Play Area, Parking, Balcony","Bus Stop, Shopping Centre, Golf Course, Hospital, Scenic View, School",30 January 2026
5 Bed Townhouse with En Suite at Loresho,Townhouse,"KSh 150,000,000","Loresho, Westlands",5 Bedrooms,4 Bathrooms,N/A,"Aircon, Alarm, Backup Generator, En Suite, Fibre Internet, Service Charge Included, Walk In Closet, Balcony, BBQ, CCTV, Electric Fence, Borehole, Garden, Parking, Staff Quarters, Wheelchair Access, Gated Community, Kids Play Area","Bus Stop, Golf Course, Hospital, Scenic View, School, Shopping Centre",30 January 2026
4 Bed House with En Suite at Maziwa,House,"KSh 50,000,000","Kahawa West, Roysambu",4 Bedrooms,4 Bathrooms,N/A,"Backup Generator, En Suite, Walk In Closet, Balcony, Kids Play Area, Parking, CCTV, Electric Fence, Borehole, Garden, Gated Community","Bus Stop, Shopping Centre, Golf Course, Hospital, Scenic View, School",30 January 2026
3 Bed Villa with En Suite at Diani,Villa,"KSh 74,700,000",Diani,3 Bedrooms,4 Bathrooms,N/A,"Aircon, Alarm, Backup Generator, En Suite, Fibre Internet, Walk In Closet, Balcony, BBQ, CCTV, Electric Fence, Borehole, Garden, Gym, Parking, Staff Quarters, Swimming Pool, Wheelchair Access, Gated Community, Kids Play Area","Bus Stop, Golf Course, Hospital, Scenic View, School, Shopping Centre",30 January 2026
5 Bed Townhouse with En Suite at Lavington Green,Townhouse,"KSh 75,000,000",Lavington,5 Bedrooms,5 Bathrooms,N/A,"Alarm, Backup Generator, En Suite, Fibre Internet, Service Charge Included, Walk In Closet, Balcony, CCTV, Electric Fence, Garden, Parking, Staff Quarters, Wheelchair Access, Gated Community, Kids Play Area","Golf Course, Hospital, School, Shopping Centre",30 January 2026
5 Bed Townhouse with En Suite at Lavington,Townhouse,"KSh 55,000,000",Lavington,5 Bedrooms,5 Bathrooms,349 sqm,"Alarm, Backup Generator, En Suite, Fibre Internet, Service Charge Included, Walk In Closet, Balcony, CCTV, Electric Fence, Garden, Parking, Staff Quarters, Wheelchair Access, Gated Community, Kids Play Area","Golf Course, Hospital, School, Shopping Centre",30 January 2026
4 Bed House with En Suite in Mtwapa,House,"KSh 13,000,000",Mtwapa,4 Bedrooms,3 Bathrooms,N/A,"Alarm, En Suite, Fibre Internet, Walk In Closet, Balcony, CCTV, Electric Fence, Borehole, Garden, Parking, Kids Play Area","Bus Stop, Hospital, School, Shopping Centre",30 January 2026
5 Bed Townhouse with En Suite in Kileleshwa,Townhouse,"KSh 75,000,000",Kileleshwa,5 Bedrooms,6 Bathrooms,0.75 acre,"En Suite, Balcony, Electric Fence, Garden, Parking, Staff Quarters, Gated Community","Hospital, School, Shopping Centre",29 January 2026
4 Bed Townhouse with En Suite at Near Boma Hotel,Townhouse,"KSh 23,500,000",South C,4 Bedrooms,3 Bathrooms,N/A,"En Suite, Staff Quarters, Parking",,27 November 2023
5 Bed House with En Suite at Magnolia Close,House,"KSh 350,000,000","Kitisuru, Westlands",5 Bedrooms,6 Bathrooms,0.5 acre,"Walk In Closet, Fibre Internet, En Suite, Backup Generator, Alarm, Aircon, Kids Play Area, Gated Community, Swimming Pool, Staff Quarters, Parking, Gym, Garden, Borehole, Electric Fence, CCTV, BBQ, Balcony","Shopping Centre, School, Hospital, Bus Stop",29 January 2026
4 Bed House with En Suite in Vipingo,House,"KSh 115,000,000",Vipingo,4 Bedrooms,N/A,778 acre,"En Suite, Backup Generator, Service Charge Included, Balcony, CCTV, Parking, Staff Quarters, Swimming Pool, Electric Fence, Garden, Gated Community","School, Hospital, Bus Stop, Shopping Centre, Golf Course, Scenic View",29 January 2026
5 Bed House with En Suite at Muthaiga North,House,"KSh 130,000,000",Muthaiga,5 Bedrooms,5 Bathrooms,N/A,"Backup Generator, Walk In Closet, En Suite, Fibre Internet, Balcony, Kids Play Area, Parking, CCTV, Staff Quarters, Electric Fence, Borehole, Wheelchair Access, Garden, Gated Community","Bus Stop, Hospital, Scenic View, School, Shopping Centre",29 January 2026
4 Bed Townhouse with En Suite in Lavington,Townhouse,"KSh 65,000,000",Lavington,4 Bedrooms,4 Bathrooms,N/A,"Alarm, Backup Generator, En Suite, Fibre Internet, Walk In Closet, Balcony, CCTV, Electric Fence, Borehole, Garden, Gym, Parking, Staff Quarters, Swimming Pool, Gated Community, Kids Play Area, Wheelchair Access","Bus Stop, Hospital, School, Shopping Centre",29 January 2026
5 Bed Townhouse with En Suite in Lavington,Townhouse,"KSh 97,000,000",Lavington,5 Bedrooms,6 Bathrooms,756 sqm,"Aircon, Backup Generator, En Suite, Fibre Internet, Walk In Closet, Alarm, Balcony, CCTV, Electric Fence, BBQ, Garden, Parking, Gym, Gated Community, Kids Play Area","Bus Stop, Golf Course, Hospital, Scenic View, School, Shopping Centre",29 January 2026
6 Bed Townhouse with En Suite in Lavington,Townhouse,"KSh 85,000,000",Lavington,6 Bedrooms,7 Bathrooms,341 sqm,"Aircon, Backup Generator, Service Charge Included, Walk In Closet, Alarm, Fibre Internet, En Suite, Balcony, BBQ, Parking, Gym, Kids Play Area, CCTV, Electric Fence, Wheelchair Access, Borehole, Garden, Gated Community","Bus Stop, Shopping Centre, Hospital, Scenic View, School",29 January 2026
5 Bed Townhouse with En Suite in Lavington,Townhouse,"KSh 81,000,000",Lavington,5 Bedrooms,6 Bathrooms,N/A,"Aircon, Backup Generator, Alarm, Service Charge Included, Walk In Closet, En Suite, Fibre Internet, Balcony, BBQ, Parking, Gym, Kids Play Area, CCTV, Electric Fence, Wheelchair Access, Borehole, Garden, Gated Community","Bus Stop, Shopping Centre, Hospital, School, Scenic View",29 January 2026
5 Bed Townhouse with En Suite in Lavington,Townhouse,"KSh 75,000,000",Lavington,5 Bedrooms,6 Bathrooms,N/A,"Aircon, Backup Generator, Alarm, Walk In Closet, Service Charge Included, En Suite, Fibre Internet, Balcony, Parking, BBQ, Gym, CCTV, Kids Play Area, Electric Fence, Borehole, Wheelchair Access, Gated Community, Garden","Bus Stop, Shopping Centre, Hospital, Scenic View, School",29 January 2026
4 Bed House with En Suite at Waiyaki Way,House,"KSh 35,000,000","Mountain View, Westlands",4 Bedrooms,3 Bathrooms,380 sqm,"Aircon, Alarm, Backup Generator, En Suite, Fibre Internet, Service Charge Included, Walk In Closet, Balcony, BBQ, CCTV, Electric Fence, Garden, Parking, Staff Quarters, Wheelchair Access, Gated Community, Kids Play Area","Bus Stop, Golf Course, Hospital, Scenic View, School, Sea View, Shopping Centre",23 January 2026
4 Bed Townhouse with En Suite in Langata,Townhouse,"KSh 35,900,000",Langata,4 Bedrooms,4 Bathrooms,3750 sq ft,"Alarm, En Suite, Fibre Internet, Walk In Closet, Backup Generator, Balcony, BBQ, CCTV, Electric Fence, Borehole, Garden, Parking, Staff Quarters, Swimming Pool, Wheelchair Access, Gated Community, Kids Play Area, Gym","Bus Stop, Hospital, School, Shopping Centre",29 January 2026
